Email,TestId,WordId,LastLearnedTime,PercentLearned
brandonparks101@example.com,0,313,2023-05-31 19:09:39,41
jeffryjohnson200@example.com,0,202,2023-06-16 19:09:39,13
terriharten269@example.com,0,339,2023-06-26 19:09:39,42
howardnewsome72@example.com,0,841,2023-06-07 19:09:39,21
andrewproctor220@example.com,0,328,2024-02-24 19:09:39,100
geraldrikard11@example.com,0,522,2023-08-20 19:09:39,33
kathryncole100@example.com,0,295,2023-05-26 19:09:39,41
kristineblasengame87@example.com,0,52,2023-11-13 19:09:39,77
gilbertworthy221@example.com,0,614,2023-07-07 19:09:39,57
melaniebush235@example.com,0,740,2023-09-12 19:09:39,98
alanwaters160@example.com,0,94,2023-12-11 19:09:39,93
jameslockett15@example.com,0,679,2023-04-02 19:09:39,37
kazukoroberts21@example.com,0,189,2024-01-24 19:09:39,62
gloriapalermo42@example.com,0,101,2023-08-30 19:09:39,26
johngonzalez213@example.com,0,621,2023-09-03 19:09:39,75
andrewnoyes153@example.com,0,774,2024-01-26 19:09:39,88
carmenleri5@example.com,0,612,2023-06-25 19:09:39,39
amandamassie188@example.com,0,527,2024-03-07 19:09:39,63
williamhowdeshell154@example.com,0,19,2023-05-17 19:09:39,49
reginamelgar32@example.com,0,192,2023-12-24 19:09:39,11
geraldinegrasso263@example.com,0,700,2024-02-20 19:09:39,6
anaboswell12@example.com,0,394,2024-01-16 19:09:39,83
deloramorasca291@example.com,0,51,2023-11-18 19:09:39,81
edwardmartinez238@example.com,0,743,2023-07-22 19:09:39,90
raymondsims150@example.com,0,180,2023-09-14 19:09:39,94
annebew18@example.com,0,277,2024-01-12 19:09:39,56
terrancelendon240@example.com,0,323,2023-11-26 19:09:39,45
geraldrikard11@example.com,0,48,2023-05-23 19:09:39,65
lamonttownsend103@example.com,0,556,2023-08-16 19:09:39,38
davidmacy195@example.com,0,19,2023-08-02 19:09:39,0
josephwashington201@example.com,0,731,2024-03-02 19:09:39,5
faithstrong162@example.com,0,349,2024-01-10 19:09:39,91
kennethmccain175@example.com,0,209,2023-10-09 19:09:39,83
larrysnyder277@example.com,0,612,2023-12-09 19:09:39,9
carlkelley56@example.com,0,205,2024-02-09 19:09:39,46
patricialee84@example.com,0,802,2023-12-15 19:09:39,84
juliansmoot192@example.com,0,832,2023-04-05 19:09:39,33
elwoodmackey125@example.com,0,233,2024-03-20 19:09:39,29
bettybecker46@example.com,0,410,2023-08-21 19:09:39,34
briancole99@example.com,0,176,2023-06-17 19:09:39,95
donaldedwards242@example.com,0,662,2023-07-23 19:09:39,76
sheilamach37@example.com,0,484,2024-01-03 19:09:39,37
eleanorjorgenson52@example.com,0,932,2023-07-17 19:09:39,4
louishasty194@example.com,0,595,2023-05-17 19:09:39,19
carlkelley56@example.com,0,100,2023-04-04 19:09:39,41
ruthwarren26@example.com,0,65,2024-02-01 19:09:39,57
norawhetsel276@example.com,0,617,2023-09-21 19:09:39,54
sharonreyes142@example.com,0,149,2023-12-03 19:09:39,68
georgelajaunie90@example.com,0,838,2024-01-24 19:09:39,90
terrancelendon240@example.com,0,466,2024-03-04 19:09:39,97
louishasty194@example.com,0,804,2023-04-12 19:09:39,20
vivianbauer63@example.com,0,265,2023-08-02 19:09:39,15
haroldthompson124@example.com,0,344,2023-05-04 19:09:39,55
brandonroot55@example.com,0,902,2023-10-12 19:09:39,22
bretbrown36@example.com,0,619,2024-03-09 19:09:39,65
terigrammer219@example.com,0,541,2023-06-03 19:09:39,76
elizabethramsey38@example.com,0,843,2023-05-18 19:09:39,99
abigailbennett123@example.com,0,157,2023-10-27 19:09:39,63
leighfranklin143@example.com,0,627,2023-09-29 19:09:39,46
sandrawallace80@example.com,0,615,2023-10-30 19:09:39,86
terriharten269@example.com,0,581,2023-04-09 19:09:39,65
larryrhodes233@example.com,0,731,2024-02-07 19:09:39,60
kathryncole100@example.com,0,886,2023-07-04 19:09:39,20
dorcasmcdaniel114@example.com,0,197,2023-06-30 19:09:39,34
adrianclark131@example.com,0,874,2024-02-29 19:09:39,67
carlosgarcia51@example.com,0,385,2023-09-16 19:09:39,11
evelynsorensen40@example.com,0,453,2023-11-10 19:09:39,80
larryrhodes233@example.com,0,273,2023-04-13 19:09:39,33
jamesperrone28@example.com,0,390,2023-08-29 19:09:39,9
larhondakeith104@example.com,0,12,2023-11-19 19:09:39,9
elwoodmackey125@example.com,0,394,2023-05-28 19:09:39,39
davidbritt178@example.com,0,87,2024-02-01 19:09:39,63
stephanjenkins189@example.com,0,693,2023-12-24 19:09:39,55
abigailbennett123@example.com,0,690,2024-03-25 19:09:39,43
loriekauffman64@example.com,0,353,2024-02-17 19:09:39,56
joelrodriquez146@example.com,0,877,2023-11-26 19:09:39,67
ellastevens185@example.com,0,141,2023-07-06 19:09:39,28
larrysnyder277@example.com,0,102,2023-08-18 19:09:39,64
aarontarango27@example.com,0,533,2023-06-01 19:09:39,94
andrewproctor220@example.com,0,837,2023-12-30 19:09:39,7
jamesperrone28@example.com,0,676,2023-10-10 19:09:39,54
janiceohlsen132@example.com,0,574,2024-02-11 19:09:39,67
jameshorowitz280@example.com,0,153,2024-02-05 19:09:39,57
patsyemerson289@example.com,0,839,2023-10-26 19:09:39,47
mariadavis141@example.com,0,73,2024-02-27 19:09:39,92
randykelly105@example.com,0,297,2023-08-30 19:09:39,35
marilynlande137@example.com,0,796,2023-07-30 19:09:39,67
johnlloyd157@example.com,0,11,2023-11-20 19:09:39,73
jimallen210@example.com,0,352,2023-12-28 19:09:39,51
johnkeomanivong149@example.com,0,456,2023-07-29 19:09:39,26
evelynsorensen40@example.com,0,152,2023-06-19 19:09:39,80
josephwashington201@example.com,0,666,2023-07-04 19:09:39,35
jacobchavez252@example.com,0,819,2023-09-10 19:09:39,47
tracismith83@example.com,0,657,2023-11-17 19:09:39,51
alicederr93@example.com,0,709,2023-08-06 19:09:39,60
edwardmann4@example.com,0,278,2023-12-31 19:09:39,30
jasonbow183@example.com,0,695,2023-07-19 19:09:39,52
hectorvalone297@example.com,0,680,2023-05-04 19:09:39,89
mitchellmoran61@example.com,0,564,2023-07-16 19:09:39,50
jameshorowitz280@example.com,0,784,2023-08-03 19:09:39,31
lowellkeller140@example.com,0,390,2023-11-07 19:09:39,16
alicestone249@example.com,0,338,2023-08-18 19:09:39,24
georgeblake20@example.com,0,120,2024-02-03 19:09:39,55
janeteastwood31@example.com,0,578,2023-09-08 19:09:39,14
bryansolomen248@example.com,0,457,2024-02-05 19:09:39,53
janiceohlsen132@example.com,0,731,2024-01-27 19:09:39,67
kennethmccain175@example.com,0,703,2023-11-18 19:09:39,70
melonyjackson186@example.com,0,303,2023-07-02 19:09:39,88
ellajones7@example.com,0,660,2023-07-03 19:09:39,35
williamhowdeshell154@example.com,0,164,2023-12-08 19:09:39,21
jeffprater174@example.com,0,952,2023-04-17 19:09:39,40
